EmbeddingModel,Classifier,Corpora,CvFold,Accuracy,F1scoreMacro,PrecisionMacro,RecallMacro,Support
Word2Vec (CBOW),KNeighborsClassifier,Wzorcowy,3,0.2994672283484079,0.08748493021740456,0.2945889231066221,0.170797612359719,8071.0
Word2Vec (Skip-gram),KNeighborsClassifier,Pełny,3,0.2983521248915872,0.08123859196530413,0.22603236339191393,0.16776382935700715,8071.0
Word2Vec (CBOW),DecisionTreeClassifier,Wzorcowy,3,0.31334407136662124,0.1596207641845326,0.3299752373624744,0.21253314769263232,8071.0
Word2Vec (Skip-gram),DecisionTreeClassifier,Pełny,3,0.31198116714161817,0.14847251309418757,0.2719376199902071,0.206625592653375,8071.0
Word2Vec (CBOW),LogisticRegression,Wzorcowy,4,0.3201982651796778,0.1487608619405613,0.19348575581188485,0.21021550691131066,8070.0
Word2Vec (Skip-gram),LogisticRegression,Pełny,4,0.3206939281288724,0.14905743353549214,0.19401496211426736,0.21074251613397207,8070.0
Word2Vec (CBOW),KNeighborsClassifier,Wzorcowy,4,0.30012391573729863,0.08892105956644059,0.3290735596196123,0.17144895499148385,8070.0
Word2Vec (Skip-gram),KNeighborsClassifier,Pełny,4,0.29938042131350684,0.08225532214245411,0.25533177968794923,0.16834792234418172,8070.0
Word2Vec (CBOW),DecisionTreeClassifier,Wzorcowy,4,0.3218091697645601,0.1727293279904241,0.3146424816833238,0.21789370708610692,8070.0
Word2Vec (Skip-gram),DecisionTreeClassifier,Pełny,4,0.32230483271375465,0.15222988600944656,0.2777249439918579,0.21047264042767008,8070.0
Word2Vec (CBOW),LogisticRegression,Wzorcowy,5,0.32589838909541513,0.15183755302034632,0.20042165022855155,0.21330536419946644,8070.0
Word2Vec (Skip-gram),LogisticRegression,Pełny,5,0.32627013630731105,0.15214601708562261,0.20101775032040467,0.21376321712890514,8070.0
Word2Vec (CBOW),KNeighborsClassifier,Wzorcowy,5,0.29851301115241635,0.08654208153957486,0.2835957145629851,0.1699643620700867,8070.0
Word2Vec (Skip-gram),KNeighborsClassifier,Pełny,5,0.29814126394052043,0.08072624656875094,0.22657342657342658,0.16744620225170093,8070.0
Word2Vec (CBOW),DecisionTreeClassifier,Wzorcowy,5,0.3246592317224288,0.1650214527241064,0.348687471928262,0.21326064390470126,8070.0
Word2Vec (Skip-gram),DecisionTreeClassifier,Pełny,5,0.32403965303593557,0.15055238179715413,0.3042678947635101,0.2063492753125428,8070.0
Word2Vec (Skip-gram),LogisticRegression,Wzorcowy,1,0.31854788749845125,0.14395440026137762,0.19430201337418726,0.20627913807890605,8071.0
Word2Vec (CBOW),LogisticRegression,Pełny,1,0.31854788749845125,0.14425962504831405,0.1941345693228931,0.2065518782198044,8071.0
Word2Vec (Skip-gram),KNeighborsClassifier,Wzorcowy,1,0.3005823318052286,0.08965551342979866,0.4170122733115022,0.1721180541188976,8071.0
Word2Vec (CBOW),KNeighborsClassifier,Pełny,1,0.2992194275802255,0.08340803787043037,0.3550181502120006,0.168950524524444,8071.0
Word2Vec (Skip-gram),DecisionTreeClassifier,Wzorcowy,1,0.3213975963325486,0.16350798516446652,0.36311758891590823,0.21419838610933953,8071.0
Word2Vec (CBOW),DecisionTreeClassifier,Pełny,1,0.3191673894189072,0.14848889685355673,0.30164022824130576,0.206264649652371,8071.0
Word2Vec (Skip-gram),LogisticRegression,Wzorcowy,2,0.3165654813529922,0.14553380247178602,0.20121976911511533,0.20678048069488608,8071.0
Word2Vec (CBOW),LogisticRegression,Pełny,2,0.31718498327344813,0.14591039596890334,0.20128758291754364,0.2074387218744543,8071.0
Word2Vec (Skip-gram),KNeighborsClassifier,Wzorcowy,2,0.300210630652955,0.08994864483656805,0.2966736300069634,0.17261942858815815,8071.0
Word2Vec (CBOW),KNeighborsClassifier,Pełny,2,0.29859992565976956,0.0796102440133103,0.23733181761554756,0.16747186717354798,8071.0
Word2Vec (Skip-gram),DecisionTreeClassifier,Wzorcowy,2,0.3187956882666336,0.17048331070025216,0.36655497121287856,0.2171096403949535,8071.0
Word2Vec (CBOW),DecisionTreeClassifier,Pełny,2,0.3163176805848098,0.15149663143266667,0.2835020285012458,0.2071132991747582,8071.0
Word2Vec (Skip-gram),LogisticRegression,Wzorcowy,3,0.31198116714161817,0.1415940639004876,0.18090667924333595,0.20335882062260513,8071.0
Word2Vec (CBOW),LogisticRegression,Pełny,3,0.3121050675257093,0.14193369266846237,0.18064852197804945,0.20390519076454358,8071.0
Word2Vec (Skip-gram),KNeighborsClassifier,Wzorcowy,3,0.2994672283484079,0.08877804647182612,0.3110802667689604,0.17131636831992636,8071.0
Word2Vec (CBOW),KNeighborsClassifier,Pełny,3,0.298228224507496,0.08063924565144029,0.21220042023212268,0.16752004219180103,8071.0
Word2Vec (Skip-gram),DecisionTreeClassifier,Wzorcowy,3,0.31322017098253,0.15876681289090355,0.31749808450369915,0.21211986631118573,8071.0
Word2Vec (CBOW),DecisionTreeClassifier,Pełny,3,0.3123528682938917,0.14893862358405527,0.28617247533935897,0.206993397850514,8071.0
Word2Vec (Skip-gram),LogisticRegression,Wzorcowy,4,0.3201982651796778,0.1487608619405613,0.19348575581188485,0.21021550691131066,8070.0
